Row,Excel Item,Excel Qty,Match,Score,SKU,DB Item,DB Qty,Diff,Opening,PO Rcvd,POs,Sold,Returns,Restock,Adj Out,Ledger,Status,Reason
1,felicia urinary 2 kg,76,CONFIRMED,9999,WH090,Felicia Adult Uniary Care Streilised Chicken 2kg,-42,118,0,28,1,84,0,8,0,-42,QTY_DIFF,84 sold on POS; 28 received on 1 PO(s); Oversold vs receipts (negative stock allowed); Excel shows stock but system is zero/sold out — unrecorded receipt or count date mismatch
2,felicia digest 2 kg,124,CONFIRMED,9999,WH086,Felicia Adult Digest Care Chicken 2kg,152,-28,196,268,3,116,0,0,196,152,QTY_DIFF,116 sold on POS; 268 received on 3 PO(s); Opening 196 was cleared by May-25 inventory reconcile adjustment; System shows more than Excel — possible over-count in system or Excel under-count
4,felicia digest 12 kg,7,CONFIRMED,9999,WH087,Felicia Adult Digest Chicken 12kg,5,2,10,23,2,20,0,2,10,5,QTY_DIFF,20 sold on POS; 23 received on 2 PO(s); Opening 10 was cleared by May-25 inventory reconcile adjustment; Physical count higher than system — possible unrecorded stock or under-counted sales
6,felicia kitten chicken 2 kg,180,CONFIRMED,9999,WH078,Felicia Kitten Dry Chicken 1-12 2kg,186,-6,200,280,3,118,0,24,200,186,QTY_DIFF,118 sold on POS; 280 received on 3 PO(s); Opening 200 was cleared by May-25 inventory reconcile adjustment; System shows more than Excel — possible over-count in system or Excel under-count
7,felicia kitten lamb 2 kg,108,CONFIRMED,9999,WH083,Felicia Kitten Dry Lamb 1-12 2kg,112,-4,152,236,2,128,0,4,152,112,QTY_DIFF,128 sold on POS; 236 received on 2 PO(s); Opening 152 was cleared by May-25 inventory reconcile adjustment; System shows more than Excel — possible over-count in system or Excel under-count
11,felicia pouch kitten  chicken 85g,564,CONFIRMED,9999,WH068,Felicia Pouch Kitten Chicken 85g,566,-2,626,720,2,154,0,0,626,566,QTY_DIFF,154 sold on POS; 720 received on 2 PO(s); Opening 626 was cleared by May-25 inventory reconcile adjustment; System shows more than Excel — possible over-count in system or Excel under-count
13,felicia pouch Adult Chicken 85g,120,CONFIRMED,9999,WH072,Felicia Pouch Adult Chicken 85g,146,-26,230,324,1,190,0,12,230,146,QTY_DIFF,190 sold on POS; 324 received on 1 PO(s); Opening 230 was cleared by May-25 inventory reconcile adjustment; System shows more than Excel — possible over-count in system or Excel under-count
14,jungle kitten 15 kg,0,CONFIRMED,9999,WH100,Jungle Kitten Dry Chicken 15kg,-3,3,4,42,3,52,0,7,4,-3,QTY_DIFF,52 sold on POS; 42 received on 3 PO(s); Opening 4 was cleared by May-25 inventory reconcile adjustment; Oversold vs receipts (negative stock allowed); Excel shows stock but system is zero/sold out — unrecorded receipt or count date mismatch
15,jungle kitten 1.5 kg,0,CONFIRMED,9999,WH099,Jungle kitten Dry Chicken 1.5kg,88,-88,160,408,3,320,0,0,160,88,QTY_DIFF,320 sold on POS; 408 received on 3 PO(s); Opening 160 was cleared by May-25 inventory reconcile adjustment; System shows more than Excel — possible over-count in system or Excel under-count
16,jungle Adult 15 kg,0,CONFIRMED,9999,WH105,Jungle Adult Dry Chicken Fish 15kg,6,-6,12,34,2,35,0,7,12,6,QTY_DIFF,35 sold on POS; 34 received on 2 PO(s); Opening 12 was cleared by May-25 inventory reconcile adjustment; System shows more than Excel — possible over-count in system or Excel under-count
17,jungle Adult 1.5 kg,0,CONFIRMED,9999,WH104,Jungle Adult Dry Chicken Fish 1.5kg,82,-82,170,420,3,354,0,16,170,82,QTY_DIFF,354 sold on POS; 420 received on 3 PO(s); Opening 170 was cleared by May-25 inventory reconcile adjustment; System shows more than Excel — possible over-count in system or Excel under-count
18,jungle pouch Kitten,24,CONFIRMED,9999,WH107,Jungle Pouch Kitten Chicken100 G,120,-96,160,432,1,320,0,8,160,120,QTY_DIFF,320 sold on POS; 432 received on 1 PO(s); Opening 160 was cleared by May-25 inventory reconcile adjustment; System shows more than Excel — possible over-count in system or Excel under-count
19,jungle pouch Adult,168,CONFIRMED,9999,WH108,Jungle Pouch Adult Chicken 100 G,234,-66,234,456,1,222,0,0,234,234,QTY_DIFF,222 sold on POS; 456 received on 1 PO(s); Opening 234 was cleared by May-25 inventory reconcile adjustment; System shows more than Excel — possible over-count in system or Excel under-count
20,jungle pate kitten,64,CONFIRMED,9999,WH115,Jungle Pate kitten Chicken+Milk 100g,96,-32,224,480,1,384,0,0,224,96,QTY_DIFF,384 sold on POS; 480 received on 1 PO(s); Opening 224 was cleared by May-25 inventory reconcile adjustment; System shows more than Excel — possible over-count in system or Excel under-count
21,jungle pate Adult,64,CONFIRMED,9999,WH114,Jungle Pate Adult 1+ Chicken 100g,96,-32,192,480,1,384,0,0,192,96,QTY_DIFF,384 sold on POS; 480 received on 1 PO(s); Opening 192 was cleared by May-25 inventory reconcile adjustment; System shows more than Excel — possible over-count in system or Excel under-count
22,jungle creamy treat chicken,0,CONFIRMED,9999,WH109,Jungle Creamy Treat Chichen,96,-96,492,1152,1,1056,0,0,492,96,QTY_DIFF,1056 sold on POS; 1152 received on 1 PO(s); Opening 492 was cleared by May-25 inventory reconcile adjustment; System shows more than Excel — possible over-count in system or Excel under-count
23,jungle creamy treat Salmon,0,CONFIRMED,9999,WH111,Jungle Creamy Treat Salmon,-50,50,250,576,1,626,0,0,250,-50,QTY_DIFF,626 sold on POS; 576 received on 1 PO(s); Opening 250 was cleared by May-25 inventory reconcile adjustment; Oversold vs receipts (negative stock allowed); Excel shows stock but system is zero/sold out — unrecorded receipt or count date mismatch
24,jungle creamy treat Tuna,0,CONFIRMED,9999,WH110,Jungle Creamy Treat Tuna,12,-12,252,600,2,588,0,0,252,12,QTY_DIFF,588 sold on POS; 600 received on 2 PO(s); Opening 252 was cleared by May-25 inventory reconcile adjustment; System shows more than Excel — possible over-count in system or Excel under-count
25,jungle meat past Duck,230,AUTO,850,WH113,Jungle Meat Paste 1+ Duck,250,-20,270,340,1,100,0,10,270,250,QTY_DIFF,100 sold on POS; 340 received on 1 PO(s); Opening 270 was cleared by May-25 inventory reconcile adjustment; System shows more than Excel — possible over-count in system or Excel under-count
26,jungle meat past Salmon,220,REVIEW,638,WH112,Jungle Meat Paste 1+Salmon,230,-10,260,330,1,110,0,10,260,230,QTY_DIFF,Match needs review: Ambiguous: also Jungle Meat Paste 1+ Duck…
27,pawfect Kitten 1 kg,550,CONFIRMED,9999,WH045,Pawfect Kitten 1 kg,640,-90,1260,2840,6,2310,0,110,1260,640,QTY_DIFF,2310 sold on POS; 2840 received on 6 PO(s); Opening 1260 was cleared by May-25 inventory reconcile adjustment; System shows more than Excel — possible over-count in system or Excel under-count
28,pawfect Kitten 500 g,313,CONFIRMED,9999,WH047,Pawfect kittan 500g,21,292,131,610,4,669,0,80,131,21,QTY_DIFF,669 sold on POS; 610 received on 4 PO(s); Opening 131 was cleared by May-25 inventory reconcile adjustment; Physical count higher than system — possible unrecorded stock or under-counted sales
29,pawfect Adult 1 kg,990,CONFIRMED,9999,WH046,Pawfect Adult 1 kg,419,571,1580,4610,6,4582,10,381,1580,419,QTY_DIFF,4582 sold on POS; 4610 received on 6 PO(s); Opening 1580 was cleared by May-25 inventory reconcile adjustment; Physical count higher than system — possible unrecorded stock or under-counted sales
30,pawfect Adult 500 g,351,CONFIRMED,9999,WH048,Pawfect adult500g,-7,358,103,681,4,728,0,40,103,-7,QTY_DIFF,728 sold on POS; 681 received on 4 PO(s); Opening 103 was cleared by May-25 inventory reconcile adjustment; Oversold vs receipts (negative stock allowed); Excel shows stock but system is zero/sold out — unrecorded receipt or count date mismatch
31,pawfect Adult 10 kg,8,CONFIRMED,9999,PAWFECTADULT10KG-312512,Pawfect Adult 10KG,3,5,9,20,2,26,0,9,9,3,QTY_DIFF,26 sold on POS; 20 received on 2 PO(s); Opening 9 was cleared by May-25 inventory reconcile adjustment; Physical count higher than system — possible unrecorded stock or under-counted sales
32,big paw 3 kg,22,CONFIRMED,9999,WH050,Big Paw Adult dog food 3kg,30,-8,56,460,3,447,0,17,56,30,QTY_DIFF,447 sold on POS; 460 received on 3 PO(s); Opening 56 was cleared by May-25 inventory reconcile adjustment; System shows more than Excel — possible over-count in system or Excel under-count
33,puppy paw 3 kg,26,CONFIRMED,9999,WH049,Puppy Paw dog food 3 KG,-21,47,15,252,4,284,0,11,15,-21,QTY_DIFF,284 sold on POS; 252 received on 4 PO(s); Opening 15 was cleared by May-25 inventory reconcile adjustment; Oversold vs receipts (negative stock allowed); Excel shows stock but system is zero/sold out — unrecorded receipt or count date mismatch
34,big paw high energy 20 kg,7,CONFIRMED,9999,WH051,Big paw high energy dog food  20kg,-3,10,0,7,3,11,0,1,0,-3,QTY_DIFF,11 sold on POS; 7 received on 3 PO(s); Oversold vs receipts (negative stock allowed); Excel shows stock but system is zero/sold out — unrecorded receipt or count date mismatch
35,whiskas poultry 2-12 in jelly,1728,CONFIRMED,9999,WHISKASPOUCH212POULTRYINJELLY85G-064161,whiskas pouch 2-12 poultry in jelly 85g,1584,144,1824,2400,2,864,0,48,1824,1584,QTY_DIFF,864 sold on POS; 2400 received on 2 PO(s); Opening 1824 was cleared by May-25 inventory reconcile adjustment; Physical count higher than system — possible unrecorded stock or under-counted sales
36,whiskas poultry 1+ in gravy,1200,CONFIRMED,9999,WH390,Whiskas Pouch 1+ Poultry Feasts In Gravy 85g,752,448,1572,1992,3,1240,0,0,1572,752,QTY_DIFF,1240 sold on POS; 1992 received on 3 PO(s); Opening 1572 was cleared by May-25 inventory reconcile adjustment; Physical count higher than system — possible unrecorded stock or under-counted sales
37,whiskas poultry 1+ in jelly,1056,CONFIRMED,9999,WH391,Whiskas Pouch 1+ Poultry Feasts In Jelly 85g,500,556,1848,4080,2,3676,0,96,1848,500,QTY_DIFF,3676 sold on POS; 4080 received on 2 PO(s); Opening 1848 was cleared by May-25 inventory reconcile adjustment; Physical count higher than system — possible unrecorded stock or under-counted sales
39,whiskas fish 1+ in jelly,624,CONFIRMED,9999,WH387,Whiskas Pouch 1+ Fish Favourites In Jelly 85g,0,624,816,1236,3,1236,0,0,816,0,QTY_DIFF,1236 sold on POS; 1236 received on 3 PO(s); Opening 816 was cleared by May-25 inventory reconcile adjustment; Excel shows stock but system is zero/sold out — unrecorded receipt or count date mismatch
40,whiskas mixed menu 1+ in jelly,1344,CONFIRMED,9999,WH389,Whiskas Pouch 1+ Mixed Menu In Jelly 85g,1728,-384,1824,2652,2,924,0,0,1824,1728,QTY_DIFF,924 sold on POS; 2652 received on 2 PO(s); Opening 1824 was cleared by May-25 inventory reconcile adjustment; System shows more than Excel — possible over-count in system or Excel under-count
41,whiskas mixed menu 2-12 in jelly,1584,CONFIRMED,9999,WH394,Whiskas Pouch Kitten 2-12 Mixed Menu In Jelly 85g,1920,-336,2016,2760,2,840,0,0,2016,1920,QTY_DIFF,840 sold on POS; 2760 received on 2 PO(s); Opening 2016 was cleared by May-25 inventory reconcile adjustment; System shows more than Excel — possible over-count in system or Excel under-count
42,whiskas meals mealty 1+ in gravy,2016,CONFIRMED,9999,WH388,Whiskas Pouch 1+ Meaty Meal In Gravy 85g,2292,-276,2436,3096,2,804,0,0,2436,2292,QTY_DIFF,804 sold on POS; 3096 received on 2 PO(s); Opening 2436 was cleared by May-25 inventory reconcile adjustment; System shows more than Excel — possible over-count in system or Excel under-count
43,whiskas chef choice 1+ in gravy,336,CONFIRMED,9999,WH396,Whiskas Pouch Tasty Mix Chefs Choice In Gravy 85g,48,288,432,1680,2,1656,0,24,432,48,QTY_DIFF,1656 sold on POS; 1680 received on 2 PO(s); Opening 432 was cleared by May-25 inventory reconcile adjustment; Physical count higher than system — possible unrecorded stock or under-counted sales
45,whiskas ocean delight 1+ in jelly,48,AUTO,1000,WH-UNIT6WAREH-WOD1-0001,Whiskas Ocean delight 1+ in jelly,-240,288,0,0,1,240,0,0,0,-240,QTY_DIFF,240 sold on POS; Oversold vs receipts (negative stock allowed); Excel shows stock but system is zero/sold out — unrecorded receipt or count date mismatch
